player,season,chance_of_playing_this_round,date,element
Lucas Rodrigues Moura da Silva,2021-22,100.0,12/05/2022,362
Steven Bergwijn,2021-22,100.0,07/05/2022,369
Steven Bergwijn,2021-22,100.0,12/05/2022,369
Roberto Firmino,2021-22,75.0,07/05/2022,228
Roberto Firmino,2021-22,75.0,10/05/2022,228
Harry Tyrer,2021-22,100.0,08/05/2022,616
Harry Tyrer,2021-22,100.0,11/05/2022,616
Callum Hudson-Odoi,2021-22,,07/05/2022,140
Callum Hudson-Odoi,2021-22,,11/05/2022,140
Morgan Sanson,2021-22,100.0,07/05/2022,34
Morgan Sanson,2021-22,100.0,10/05/2022,34
Nathan Patterson,2021-22,,08/05/2022,674
Nathan Patterson,2021-22,,11/05/2022,674
Harry Maguire,2021-22,100.0,07/05/2022,273
Raphaël Varane,2021-22,100.0,07/05/2022,555
Raphaël Varane,2021-22,100.0,07/05/2022,555
Max Kilman,2021-22,,07/05/2022,439
Max Kilman,2021-22,,11/05/2022,439
Teemu Pukki,2021-22,100.0,08/05/2022,315
Teemu Pukki,2021-22,100.0,11/05/2022,315
Mohamed Naser El Sayed Elneny,2021-22,100.0,08/05/2022,12
Mohamed Naser El Sayed Elneny,2021-22,100.0,08/05/2022,12
Mohamed Naser El Sayed Elneny,2021-22,100.0,12/05/2022,12
Mohamed Naser El Sayed Elneny,2021-22,100.0,12/05/2022,12
William Smallbone,2021-22,100.0,07/05/2022,347
Adedapo Awokoya-Mebude,2021-22,,07/05/2022,469
Adedapo Awokoya-Mebude,2021-22,,11/05/2022,469
Kelechi Iheanacho,2021-22,100.0,08/05/2022,213
Kelechi Iheanacho,2021-22,100.0,11/05/2022,213
Ashley Fletcher,2021-22,,07/05/2022,395
Ashley Fletcher,2021-22,,11/05/2022,395
Daniel James,2021-22,100.0,08/05/2022,287
Daniel James,2021-22,100.0,11/05/2022,287
Lewis Richardson,2021-22,100.0,07/05/2022,533
Kieran Tierney,2021-22,,08/05/2022,16
Kieran Tierney,2021-22,,12/05/2022,16
Zach Awe,2021-22,100.0,08/05/2022,705
Zach Awe,2021-22,100.0,12/05/2022,705
Ben Foster,2021-22,100.0,07/05/2022,376
Ben Foster,2021-22,100.0,11/05/2022,376
Adam Webster,2021-22,100.0,07/05/2022,61
Lewis Bate,2021-22,100.0,08/05/2022,624
Lewis Bate,2021-22,100.0,11/05/2022,624
Arthur Okonkwo,2021-22,100.0,08/05/2022,572
Arthur Okonkwo,2021-22,100.0,12/05/2022,572
Tobi Omole,2021-22,100.0,07/05/2022,598
Tobi Omole,2021-22,100.0,12/05/2022,598
Alex McCarthy,2021-22,100.0,07/05/2022,334
Matthew Pollock,2021-22,,07/05/2022,454
Matthew Pollock,2021-22,,11/05/2022,454
Ki-Jana Hoever,2021-22,100.0,07/05/2022,443
Ki-Jana Hoever,2021-22,100.0,11/05/2022,443
Aaron Wan-Bissaka,2021-22,75.0,07/05/2022,288
Joël Veltman,2021-22,100.0,07/05/2022,62
Hugo Bueno,2021-22,100.0,07/05/2022,635
Hugo Bueno,2021-22,100.0,11/05/2022,635
Stuart Dallas,2021-22,,08/05/2022,188
Stuart Dallas,2021-22,,11/05/2022,188
Carney Chukwuemeka,2021-22,100.0,07/05/2022,526
Carney Chukwuemeka,2021-22,100.0,10/05/2022,526
Ben Godfrey,2021-22,,08/05/2022,179
Ben Godfrey,2021-22,,11/05/2022,179
Pierre Lees-Melou,2021-22,100.0,08/05/2022,471
Pierre Lees-Melou,2021-22,100.0,11/05/2022,471
Tyler Roberts,2021-22,,08/05/2022,193
Tyler Roberts,2021-22,,11/05/2022,193
Andreas Pereira,2021-22,,07/05/2022,511
Marc Cucurella,2021-22,100.0,07/05/2022,584
Jamie Shackleton,2021-22,100.0,08/05/2022,197
Jamie Shackleton,2021-22,100.0,11/05/2022,197
Tayo Adaramola,2021-22,100.0,07/05/2022,709
Ross Barkley,2021-22,100.0,07/05/2022,124
Ross Barkley,2021-22,100.0,11/05/2022,124
Ivan Toney,2021-22,100.0,07/05/2022,78
Lewis Dunk,2021-22,100.0,07/05/2022,59
Jason Steele,2021-22,100.0,07/05/2022,54
Cole Palmer,2021-22,100.0,08/05/2022,507
Cole Palmer,2021-22,100.0,11/05/2022,507
James Maddison,2021-22,100.0,08/05/2022,212
James Maddison,2021-22,100.0,11/05/2022,212
Solomon March,2021-22,100.0,07/05/2022,60
Solomon March,2021-22,100.0,07/05/2022,60
Odsonne Edouard,2021-22,100.0,07/05/2022,586
Jesurun Rak-Sakyi,2021-22,100.0,07/05/2022,541
Kyle Walker,2021-22,75.0,08/05/2022,249
Kyle Walker,2021-22,75.0,11/05/2022,249
Isaac Hayden,2021-22,,08/05/2022,306
Giovani Lo Celso,2021-22,,07/05/2022,372
Giovani Lo Celso,2021-22,,12/05/2022,372
Vicente Guaita,2021-22,100.0,07/05/2022,146
Jonas Lössl,2021-22,100.0,07/05/2022,673
Alfie Devine,2021-22,100.0,07/05/2022,714
Alfie Devine,2021-22,100.0,12/05/2022,714
Lamare Bogarde,2021-22,100.0,07/05/2022,610
Lamare Bogarde,2021-22,100.0,10/05/2022,610
Marc Navarro,2021-22,,07/05/2022,398
Marc Navarro,2021-22,,11/05/2022,398
Mathias Jensen,2021-22,100.0,07/05/2022,86
Amad Diallo,2021-22,,07/05/2022,636
Moussa Djenepo,2021-22,100.0,07/05/2022,350
Japhet Tanganga,2021-22,,07/05/2022,371
Japhet Tanganga,2021-22,,12/05/2022,371
Olivier Giroud,2021-22,,07/05/2022,120
Olivier Giroud,2021-22,,11/05/2022,120
Tariq Lamptey,2021-22,100.0,07/05/2022,71
Ken Sema,2021-22,100.0,07/05/2022,391
Ken Sema,2021-22,100.0,11/05/2022,391
Robin Olsen,2021-22,100.0,07/05/2022,691
Robin Olsen,2021-22,100.0,10/05/2022,691
Edinson Cavani,2021-22,100.0,07/05/2022,269
Héctor Junior Firpo Adames,2021-22,100.0,08/05/2022,463
Héctor Junior Firpo Adames,2021-22,100.0,08/05/2022,463
Héctor Junior Firpo Adames,2021-22,100.0,11/05/2022,463
Héctor Junior Firpo Adames,2021-22,100.0,11/05/2022,463
Pierre-Emile Højbjerg,2021-22,100.0,07/05/2022,365
Pierre-Emile Højbjerg,2021-22,100.0,12/05/2022,365
Alejandro Garnacho Ferreyra,2021-22,100.0,07/05/2022,723
Alejandro Garnacho Ferreyra,2021-22,100.0,07/05/2022,723
Imrân Louza,2021-22,100.0,07/05/2022,403
Imrân Louza,2021-22,100.0,07/05/2022,403
Imrân Louza,2021-22,100.0,11/05/2022,403
Imrân Louza,2021-22,100.0,11/05/2022,403
Trent Alexander-Arnold,2021-22,100.0,07/05/2022,237
Trent Alexander-Arnold,2021-22,100.0,10/05/2022,237
Ricardo Domingos Barbosa Pereira,2021-22,100.0,08/05/2022,207
Ricardo Domingos Barbosa Pereira,2021-22,100.0,08/05/2022,207
Ricardo Domingos Barbosa Pereira,2021-22,100.0,11/05/2022,207
Ricardo Domingos Barbosa Pereira,2021-22,100.0,11/05/2022,207
Michael Obafemi,2021-22,,07/05/2022,348
James Tarkowski,2021-22,100.0,07/05/2022,98
Cheikhou Kouyaté,2021-22,100.0,07/05/2022,150
Naby Keita,2021-22,100.0,07/05/2022,239
Naby Keita,2021-22,100.0,10/05/2022,239
Kristoffer Ajer,2021-22,100.0,07/05/2022,483
Michael McGovern,2021-22,100.0,08/05/2022,313
Michael McGovern,2021-22,100.0,11/05/2022,313
Jack Grealish,2021-22,100.0,08/05/2022,33
Jack Grealish,2021-22,100.0,11/05/2022,33
Matthew Lowton,2021-22,100.0,07/05/2022,110
Mathias Jorgensen,2021-22,,07/05/2022,594
Mathias Jorgensen,2021-22,,07/05/2022,594
Erik Lamela,2021-22,,07/05/2022,356
Erik Lamela,2021-22,,12/05/2022,356
Rúben Santos Gato Alves Dias,2021-22,100.0,08/05/2022,262
Rúben Santos Gato Alves Dias,2021-22,100.0,08/05/2022,262
Rúben Santos Gato Alves Dias,2021-22,100.0,11/05/2022,262
Rúben Santos Gato Alves Dias,2021-22,100.0,11/05/2022,262
Xherdan Shaqiri,2021-22,,07/05/2022,226
Xherdan Shaqiri,2021-22,,10/05/2022,226
Ashley Barnes,2021-22,100.0,07/05/2022,105
Daniel Bachmann,2021-22,100.0,07/05/2022,389
Daniel Bachmann,2021-22,100.0,11/05/2022,389
Romelu Lukaku,2021-22,100.0,07/05/2022,529
Romelu Lukaku,2021-22,100.0,11/05/2022,529
Conor Hourihane,2021-22,,07/05/2022,29
Conor Hourihane,2021-22,,10/05/2022,29
William Troost-Ekong,2021-22,100.0,07/05/2022,387
William Troost-Ekong,2021-22,100.0,11/05/2022,387
Nathan Tella,2021-22,100.0,07/05/2022,346
Charlie Patino,2021-22,100.0,08/05/2022,664
Charlie Patino,2021-22,100.0,12/05/2022,664
Shane Long,2021-22,100.0,07/05/2022,519
Bernardo Mota Veiga de Carvalho e Silva,2021-22,100.0,08/05/2022,261
Bernardo Mota Veiga de Carvalho e Silva,2021-22,100.0,08/05/2022,261
Bernardo Mota Veiga de Carvalho e Silva,2021-22,100.0,11/05/2022,261
Bernardo Mota Veiga de Carvalho e Silva,2021-22,100.0,11/05/2022,261
Alex Kirk,2021-22,100.0,08/05/2022,730
Alex Kirk,2021-22,100.0,12/05/2022,730
Adam Idah,2021-22,,08/05/2022,329
Adam Idah,2021-22,,11/05/2022,329
Kjell Scherpen,2021-22,,07/05/2022,476
Conor Coady,2021-22,100.0,07/05/2022,429
Conor Coady,2021-22,100.0,11/05/2022,429
Angus Gunn,2021-22,100.0,08/05/2022,448
Angus Gunn,2021-22,100.0,11/05/2022,448
Mbwana Ally Samatta,2021-22,,07/05/2022,48
Mbwana Ally Samatta,2021-22,,10/05/2022,48
Cieran Slicker,2021-22,100.0,08/05/2022,615
Cieran Slicker,2021-22,100.0,11/05/2022,615
Adam Lallana,2021-22,100.0,07/05/2022,53
Haydon Roberts,2021-22,100.0,07/05/2022,560
Toti António Gomes,2021-22,100.0,07/05/2022,685
Toti António Gomes,2021-22,100.0,07/05/2022,685
Toti António Gomes,2021-22,100.0,11/05/2022,685
Toti António Gomes,2021-22,100.0,11/05/2022,685
Youri Tielemans,2021-22,100.0,08/05/2022,210
Youri Tielemans,2021-22,100.0,11/05/2022,210
Hugo Lloris,2021-22,100.0,07/05/2022,353
Hugo Lloris,2021-22,100.0,12/05/2022,353
Craig Cathcart,2021-22,75.0,07/05/2022,379
Craig Cathcart,2021-22,75.0,11/05/2022,379
Rodrigo Bentancur,2021-22,100.0,07/05/2022,702
Rodrigo Bentancur,2021-22,100.0,12/05/2022,702
Reece Welch,2021-22,100.0,08/05/2022,623
Reece Welch,2021-22,100.0,11/05/2022,623
Saman Ghoddos,2021-22,50.0,07/05/2022,85
Illan Meslier,2021-22,100.0,08/05/2022,199
Illan Meslier,2021-22,100.0,11/05/2022,199
Francisco Casilla Cortés,2021-22,,08/05/2022,183
Francisco Casilla Cortés,2021-22,,11/05/2022,183
Dilan Markanday,2021-22,,07/05/2022,597
Dilan Markanday,2021-22,,12/05/2022,597
Gabriel Magalhães,2021-22,100.0,08/05/2022,23
Gabriel Magalhães,2021-22,100.0,08/05/2022,23
Gabriel Magalhães,2021-22,100.0,12/05/2022,23
Gabriel Magalhães,2021-22,100.0,12/05/2022,23
Tanguy Ndombele,2021-22,,07/05/2022,375
Tanguy Ndombele,2021-22,,07/05/2022,375
Tanguy Ndombele,2021-22,,12/05/2022,375
Tanguy Ndombele,2021-22,,12/05/2022,375
Francisco Sierralta,2021-22,100.0,07/05/2022,396
Francisco Sierralta,2021-22,100.0,11/05/2022,396
Jordan Henderson,2021-22,100.0,07/05/2022,222
Jordan Henderson,2021-22,100.0,10/05/2022,222
Romeo Lavia,2021-22,100.0,08/05/2022,605
Romeo Lavia,2021-22,100.0,11/05/2022,605
Ibrahima Diallo,2021-22,100.0,07/05/2022,349
Calum Chambers,2021-22,100.0,07/05/2022,10
Calum Chambers,2021-22,100.0,10/05/2022,10
Dwight McNeil,2021-22,100.0,07/05/2022,118
Jonathan Castro Otto,2021-22,100.0,07/05/2022,433
Jonathan Castro Otto,2021-22,100.0,07/05/2022,433
Jonathan Castro Otto,2021-22,100.0,11/05/2022,433
Jonathan Castro Otto,2021-22,100.0,11/05/2022,433
Patrik Gunnarsson,2021-22,,07/05/2022,94
Matthew Longstaff,2021-22,,08/05/2022,312
Saúl Ñíguez,2021-22,100.0,07/05/2022,592
Saúl Ñíguez,2021-22,100.0,11/05/2022,592
James Tomkins,2021-22,100.0,07/05/2022,147
Timo Werner,2021-22,100.0,07/05/2022,134
Timo Werner,2021-22,100.0,11/05/2022,134
David Raya Martin,2021-22,100.0,07/05/2022,80
David Raya Martin,2021-22,100.0,07/05/2022,80
Nick Pope,2021-22,100.0,07/05/2022,112
Ezri Konsa Ngoyo,2021-22,100.0,07/05/2022,45
Ezri Konsa Ngoyo,2021-22,100.0,10/05/2022,45
Odeluga Offiah,2021-22,100.0,07/05/2022,712
Kristoffer Klaesson,2021-22,100.0,08/05/2022,490
Kristoffer Klaesson,2021-22,100.0,11/05/2022,490
Gabriel Teodoro Martinelli Silva,2021-22,100.0,08/05/2022,26
Gabriel Teodoro Martinelli Silva,2021-22,100.0,08/05/2022,26
Gabriel Teodoro Martinelli Silva,2021-22,100.0,12/05/2022,26
Gabriel Teodoro Martinelli Silva,2021-22,100.0,12/05/2022,26
Christian Marques,2021-22,,07/05/2022,549
Christian Marques,2021-22,,11/05/2022,549
Heung-Min Son,2021-22,100.0,07/05/2022,359
Heung-Min Son,2021-22,100.0,07/05/2022,359
Heung-Min Son,2021-22,100.0,12/05/2022,359
Heung-Min Son,2021-22,100.0,12/05/2022,359
Jack Jenkins,2021-22,100.0,08/05/2022,631
Jack Jenkins,2021-22,100.0,11/05/2022,631
Shaqai Forde,2021-22,100.0,07/05/2022,725
Shaqai Forde,2021-22,100.0,11/05/2022,725
Lewis Dobbin,2021-22,100.0,08/05/2022,607
Lewis Dobbin,2021-22,100.0,11/05/2022,607
Jack Cork,2021-22,100.0,07/05/2022,101
Domingos Quina,2021-22,,07/05/2022,397
Domingos Quina,2021-22,,11/05/2022,397
Aaron Ramsey,2021-22,,07/05/2022,496
Aaron Ramsey,2021-22,,10/05/2022,496
Patrick Cutrone,2021-22,,07/05/2022,523
Patrick Cutrone,2021-22,,11/05/2022,523
Jacob Ramsey,2021-22,25.0,07/05/2022,51
Jacob Ramsey,2021-22,25.0,10/05/2022,51
Leo Fuhr Hjelde,2021-22,100.0,08/05/2022,608
Leo Fuhr Hjelde,2021-22,100.0,11/05/2022,608
Nathan Aké,2021-22,100.0,08/05/2022,258
Nathan Aké,2021-22,100.0,11/05/2022,258
Jonjoe Kenny,2021-22,100.0,08/05/2022,502
Jonjoe Kenny,2021-22,100.0,11/05/2022,502
Dennis Praet,2021-22,,08/05/2022,206
Dennis Praet,2021-22,,11/05/2022,206
Joseph Willock,2021-22,100.0,08/05/2022,19
Joseph Willock,2021-22,100.0,08/05/2022,19
Angelo Ogbonna,2021-22,,08/05/2022,409
Pablo Hernández Domínguez,2021-22,,08/05/2022,182
Pablo Hernández Domínguez,2021-22,,11/05/2022,182
Reiss Nelson,2021-22,,08/05/2022,531
Reiss Nelson,2021-22,,12/05/2022,531
Rob Holding,2021-22,100.0,08/05/2022,14
Rob Holding,2021-22,100.0,12/05/2022,14
Harry Kane,2021-22,100.0,07/05/2022,357
Harry Kane,2021-22,100.0,12/05/2022,357
Troy Deeney,2021-22,,07/05/2022,380
Troy Deeney,2021-22,,11/05/2022,380
Lucas De Bolle,2021-22,100.0,08/05/2022,707
Seamus Coleman,2021-22,100.0,08/05/2022,165
Seamus Coleman,2021-22,100.0,11/05/2022,165
Harvey Barnes,2021-22,100.0,08/05/2022,215
Harvey Barnes,2021-22,100.0,11/05/2022,215
Sergio Reguilón,2021-22,,07/05/2022,370
Sergio Reguilón,2021-22,,12/05/2022,370
Timothy Castagne,2021-22,100.0,08/05/2022,209
Timothy Castagne,2021-22,100.0,11/05/2022,209
Joachim Andersen,2021-22,100.0,07/05/2022,488
Bailey Peacock-Farrell,2021-22,,07/05/2022,117
Tom Heaton,2021-22,100.0,07/05/2022,509
Pierluigi Gollini,2021-22,100.0,07/05/2022,486
Pierluigi Gollini,2021-22,100.0,12/05/2022,486
Josh Brownhill,2021-22,100.0,07/05/2022,115
João Pedro Junqueira de Jesus,2021-22,100.0,07/05/2022,404
João Pedro Junqueira de Jesus,2021-22,100.0,07/05/2022,404
João Pedro Junqueira de Jesus,2021-22,100.0,11/05/2022,404
João Pedro Junqueira de Jesus,2021-22,100.0,11/05/2022,404
Thierry Small,2021-22,100.0,07/05/2022,667
Ian Carlo Poveda-Ocampo,2021-22,,08/05/2022,195
Ian Carlo Poveda-Ocampo,2021-22,,11/05/2022,195
Nohan Kenneh,2021-22,100.0,08/05/2022,600
Nohan Kenneh,2021-22,100.0,11/05/2022,600
Frederico Rodrigues de Paula Santos,2021-22,100.0,07/05/2022,274
Frederico Rodrigues de Paula Santos,2021-22,100.0,07/05/2022,274
Marcelo Flores,2021-22,100.0,08/05/2022,720
Marcelo Flores,2021-22,100.0,12/05/2022,720
Yerson Mosquera Valdelamar,2021-22,100.0,07/05/2022,446
Yerson Mosquera Valdelamar,2021-22,100.0,11/05/2022,446
Tyrick Mitchell,2021-22,100.0,07/05/2022,162
Wayne Hennessey,2021-22,100.0,07/05/2022,480
Andreas Christensen,2021-22,100.0,07/05/2022,133
Andreas Christensen,2021-22,100.0,11/05/2022,133
Jack Harrison,2021-22,100.0,08/05/2022,267
Jack Harrison,2021-22,100.0,11/05/2022,267
David de Gea,2021-22,100.0,07/05/2022,270
Victor Lindelöf,2021-22,100.0,07/05/2022,284
Jeremy Sarmiento,2021-22,,07/05/2022,612
Samir Caetano de Souza Santos,2021-22,100.0,07/05/2022,677
Samir Caetano de Souza Santos,2021-22,100.0,07/05/2022,677
Samir Caetano de Souza Santos,2021-22,100.0,11/05/2022,677
Samir Caetano de Souza Santos,2021-22,100.0,11/05/2022,677
Jannik Vestergaard,2021-22,100.0,08/05/2022,340
Jannik Vestergaard,2021-22,100.0,11/05/2022,340
Lewis Hall,2021-22,100.0,07/05/2022,671
Lewis Hall,2021-22,100.0,11/05/2022,671
Ayoze Pérez,2021-22,100.0,08/05/2022,211
Ayoze Pérez,2021-22,100.0,11/05/2022,211
Neal Maupay,2021-22,100.0,07/05/2022,63
Danny Welbeck,2021-22,100.0,07/05/2022,447
Tomas Soucek,2021-22,100.0,08/05/2022,422
Aaron Connolly,2021-22,,07/05/2022,72
Javier Manquillo,2021-22,100.0,08/05/2022,302
Paris Maghoma,2021-22,100.0,07/05/2022,614
Romain Perraud,2021-22,100.0,07/05/2022,460
Bruno André Cavaco Jordão,2021-22,,07/05/2022,661
Bruno André Cavaco Jordão,2021-22,,11/05/2022,661
Will Hughes,2021-22,100.0,07/05/2022,386
Ben Davies,2021-22,100.0,07/05/2022,364
Ben Davies,2021-22,100.0,07/05/2022,248
Ben Davies,2021-22,100.0,12/05/2022,364
Ben Davies,2021-22,100.0,12/05/2022,248
Nicolas Pépé,2021-22,100.0,08/05/2022,17
Nicolas Pépé,2021-22,100.0,08/05/2022,17
Nicolas Pépé,2021-22,100.0,12/05/2022,17
Nicolas Pépé,2021-22,100.0,12/05/2022,17
Martin Kelly,2021-22,100.0,07/05/2022,151
Andreas Söndergaard,2021-22,,07/05/2022,444
Andreas Söndergaard,2021-22,,11/05/2022,444
Will Norris,2021-22,100.0,07/05/2022,114
Granit Xhaka,2021-22,100.0,08/05/2022,7
Granit Xhaka,2021-22,100.0,12/05/2022,7
Edo Kayembe,2021-22,100.0,07/05/2022,679
Edo Kayembe,2021-22,100.0,11/05/2022,679
Jan Zamburek,2021-22,,07/05/2022,93
Andi Zeqiri,2021-22,,07/05/2022,535
Fabio Silva,2021-22,100.0,07/05/2022,445
Fabio Silva,2021-22,100.0,11/05/2022,445
Michail Antonio,2021-22,100.0,08/05/2022,413
Bernardo Fernandes Da Silva Junior,2021-22,,07/05/2022,68
Yves Bissouma,2021-22,100.0,07/05/2022,70
Luke Ayling,2021-22,100.0,08/05/2022,185
Luke Ayling,2021-22,100.0,11/05/2022,185
Mads Roerslev Rasmussen,2021-22,100.0,07/05/2022,89
Mads Roerslev Rasmussen,2021-22,100.0,07/05/2022,89
Marcelo de Araújo Pitaluga Filho,2021-22,100.0,07/05/2022,656
Marcelo de Araújo Pitaluga Filho,2021-22,100.0,10/05/2022,656
Jonny Evans,2021-22,100.0,08/05/2022,201
Jonny Evans,2021-22,100.0,11/05/2022,201
Ajibola Alese,2021-22,100.0,08/05/2022,644
Anthony Elanga,2021-22,100.0,07/05/2022,512
Joe Rodon,2021-22,100.0,07/05/2022,374
Joe Rodon,2021-22,100.0,12/05/2022,374
Ferran Torres,2021-22,,08/05/2022,268
Ferran Torres,2021-22,,08/05/2022,268
Ferran Torres,2021-22,,11/05/2022,268
Ferran Torres,2021-22,,11/05/2022,268
Myles Peart-Harris,2021-22,100.0,07/05/2022,662
Harvey Vale,2021-22,100.0,07/05/2022,672
Harvey Vale,2021-22,100.0,11/05/2022,672
Finley Stevens,2021-22,100.0,07/05/2022,569
Wesley Moraes,2021-22,,07/05/2022,47
Wesley Moraes,2021-22,,07/05/2022,47
Wesley Moraes,2021-22,,10/05/2022,47
Wesley Moraes,2021-22,,10/05/2022,47
Jordan Pickford,2021-22,100.0,08/05/2022,170
Jordan Pickford,2021-22,100.0,11/05/2022,170
Erik Pieters,2021-22,75.0,07/05/2022,100
Juan Camilo Hernández Suárez,2021-22,,07/05/2022,472
Juan Camilo Hernández Suárez,2021-22,,07/05/2022,472
Juan Camilo Hernández Suárez,2021-22,,11/05/2022,472
Juan Camilo Hernández Suárez,2021-22,,11/05/2022,472
Bernd Leno,2021-22,100.0,08/05/2022,1
Bernd Leno,2021-22,100.0,12/05/2022,1
Kai Havertz,2021-22,100.0,07/05/2022,141
Kai Havertz,2021-22,100.0,11/05/2022,141
Daniel N'Lundulu,2021-22,,07/05/2022,344
Martin Ødegaard,2021-22,100.0,08/05/2022,558
Martin Ødegaard,2021-22,100.0,08/05/2022,558
Martin Ødegaard,2021-22,100.0,12/05/2022,558
Martin Ødegaard,2021-22,100.0,12/05/2022,558
Leon Bailey,2021-22,25.0,07/05/2022,492
Leon Bailey,2021-22,25.0,10/05/2022,492
Michael Olise,2021-22,100.0,07/05/2022,464
Morgan Gibbs-White,2021-22,,07/05/2022,440
Morgan Gibbs-White,2021-22,,11/05/2022,440
Jeff Hendrick,2021-22,,08/05/2022,297
Michael Keane,2021-22,100.0,08/05/2022,169
Michael Keane,2021-22,100.0,11/05/2022,169
Miguel Azeez,2021-22,100.0,08/05/2022,721
Miguel Azeez,2021-22,100.0,12/05/2022,721
Mason Greenwood,2021-22,,07/05/2022,289
João Virgínia,2021-22,,08/05/2022,181
João Virgínia,2021-22,,11/05/2022,181
Adam Masina,2021-22,100.0,07/05/2022,390
Adam Masina,2021-22,100.0,11/05/2022,390
Ryan Sessegnon,2021-22,100.0,07/05/2022,368
Ryan Sessegnon,2021-22,100.0,12/05/2022,368
Bryan Gil Salvatierra,2021-22,,07/05/2022,487
Bryan Gil Salvatierra,2021-22,,12/05/2022,487
Daniel Amartey,2021-22,100.0,08/05/2022,208
Daniel Amartey,2021-22,100.0,11/05/2022,208
Chem Campbell,2021-22,100.0,07/05/2022,548
Chem Campbell,2021-22,100.0,11/05/2022,548
César Azpilicueta,2021-22,100.0,07/05/2022,119
César Azpilicueta,2021-22,100.0,11/05/2022,119
Caoimhin Kelleher,2021-22,100.0,07/05/2022,242
Caoimhin Kelleher,2021-22,100.0,10/05/2022,242
Dan Burn,2021-22,100.0,08/05/2022,58
Andrew Omobamidele,2021-22,,08/05/2022,331
Andrew Omobamidele,2021-22,,11/05/2022,331
Phil Foden,2021-22,100.0,08/05/2022,265
Phil Foden,2021-22,100.0,11/05/2022,265
Thiago Alcántara do Nascimento,2021-22,100.0,07/05/2022,225
Thiago Alcántara do Nascimento,2021-22,100.0,07/05/2022,225
Thiago Alcántara do Nascimento,2021-22,100.0,10/05/2022,225
Thiago Alcántara do Nascimento,2021-22,100.0,10/05/2022,225
Kieran Dowell,2021-22,100.0,08/05/2022,323
Kieran Dowell,2021-22,100.0,11/05/2022,323
Ryan Bertrand,2021-22,,08/05/2022,473
Ryan Bertrand,2021-22,,11/05/2022,473
Lucas Digne,2021-22,100.0,07/05/2022,168
Lucas Digne,2021-22,100.0,10/05/2022,168
Nathan Young-Coombes,2021-22,100.0,07/05/2022,640
Ben Woodburn,2021-22,,07/05/2022,553
Ben Woodburn,2021-22,,10/05/2022,553
Danny Ward,2021-22,100.0,08/05/2022,204
Danny Ward,2021-22,100.0,11/05/2022,204
Sead Kolasinac,2021-22,,08/05/2022,11
Sead Kolasinac,2021-22,,12/05/2022,11
Álvaro Fernández,2021-22,100.0,07/05/2022,728
Álvaro Fernández,2021-22,100.0,07/05/2022,556
Samuel Edozie,2021-22,100.0,08/05/2022,508
Samuel Edozie,2021-22,100.0,11/05/2022,508
Alex Oxlade-Chamberlain,2021-22,100.0,07/05/2022,227
Alex Oxlade-Chamberlain,2021-22,100.0,10/05/2022,227
Josh Benson,2021-22,,07/05/2022,116
Craig Dawson,2021-22,100.0,08/05/2022,414
Kasper Schmeichel,2021-22,100.0,08/05/2022,200
Kasper Schmeichel,2021-22,100.0,11/05/2022,200
Ben White,2021-22,75.0,08/05/2022,67
Ben White,2021-22,75.0,12/05/2022,67
Kaine Hayden,2021-22,100.0,07/05/2022,684
Kaine Hayden,2021-22,100.0,10/05/2022,684
Christos Tzolis,2021-22,100.0,08/05/2022,528
Christos Tzolis,2021-22,100.0,11/05/2022,528
Thiago Emiliano da Silva,2021-22,100.0,07/05/2022,121
Thiago Emiliano da Silva,2021-22,100.0,07/05/2022,121
Thiago Emiliano da Silva,2021-22,100.0,11/05/2022,121
Thiago Emiliano da Silva,2021-22,100.0,11/05/2022,121
Daniel Castelo Podence,2021-22,75.0,07/05/2022,438
Daniel Castelo Podence,2021-22,75.0,07/05/2022,438
Daniel Castelo Podence,2021-22,75.0,11/05/2022,438
Daniel Castelo Podence,2021-22,75.0,11/05/2022,438
Halil Dervişoğlu,2021-22,,07/05/2022,95
Jadon Sancho,2021-22,,07/05/2022,485
Kamil Conteh,2021-22,,07/05/2022,669
Kamil Conteh,2021-22,,11/05/2022,669
Kurt Zouma,2021-22,100.0,08/05/2022,128
Lukas Rupp,2021-22,100.0,08/05/2022,317
Lukas Rupp,2021-22,100.0,11/05/2022,317
Aaron Cresswell,2021-22,100.0,08/05/2022,411
Jordan Hugill,2021-22,,08/05/2022,322
Jordan Hugill,2021-22,,11/05/2022,322
Scott Carson,2021-22,100.0,08/05/2022,593
Scott Carson,2021-22,100.0,11/05/2022,593
Nathan Broadhead,2021-22,,08/05/2022,545
Nathan Broadhead,2021-22,,11/05/2022,545
Federico Fernández,2021-22,100.0,08/05/2022,465
Curtis Jones,2021-22,100.0,07/05/2022,244
Curtis Jones,2021-22,100.0,10/05/2022,244
Owen Beck,2021-22,100.0,07/05/2022,627
Owen Beck,2021-22,100.0,10/05/2022,627
John Ruddy,2021-22,100.0,07/05/2022,452
John Ruddy,2021-22,100.0,11/05/2022,452
Jack Grieves,2021-22,,07/05/2022,734
Jack Grieves,2021-22,,11/05/2022,734
Mohammed Salisu,2021-22,100.0,07/05/2022,351
N'Golo Kanté,2021-22,25.0,07/05/2022,130
N'Golo Kanté,2021-22,25.0,07/05/2022,130
N'Golo Kanté,2021-22,25.0,11/05/2022,130
N'Golo Kanté,2021-22,25.0,11/05/2022,130
Josh Martin,2021-22,,08/05/2022,330
